school,major,2017,2018,2019,2020,rankEstimatedByPoly,rankEstimatedBySVR,avg,cov
北京科技大学,理科试验班,9034.0,8891.0,7767.0,8564.0,8187.0,8085.0,8564.0,566.5797972630746
北京科技大学,应用物理学,9697.0,11183.0,9893.0,10257.666666666666,10031.0,10004.0,10257.666666666666,659.1840073572444
北京科技大学,工商管理类（一年后可分流至工商管理、会计学）,9697.0,10394.0,10045.5,10045.5,10010.0,10001.0,10045.5,284.5490584533125
北京科技大学,计算机类（一年后可分流至计算机科学与技术、信息安全、物联网工程）,9697.0,9682.5,9668.0,9682.5,9648.0,9632.0,9682.5,11.839200423452027
北京科技大学,材料科学与工程,10376.0,10394.0,10744.0,10504.666666666666,10585.0,10594.0,10504.666666666666,169.3936900307158
北京科技大学,冶金工程,10376.0,11183.0,10744.0,10767.666666666666,10703.0,10705.0,10767.666666666666,329.88112336954896
北京科技大学,生物技术,10376.0,10394.0,10744.0,10504.666666666666,10585.0,10594.0,10504.666666666666,169.3936900307158
北京科技大学,数学类（一年后可分流至数学与应用数学、信息与计算科学）,10376.0,10394.0,10426.0,10398.666666666666,10369.0,10367.0,10398.666666666666,20.677416559027765
北京科技大学,自动化类（一年后可分流至自动化等专业）,10376.0,10376.0,10376.0,10376.0,10333.0,10329.0,10376.0,0.0
北京科技大学,能源与动力工程,11112.0,11112.0,11112.0,11112.0,11052.0,11060.0,11112.0,0.0
北京科技大学,通信工程,11112.0,10394.0,9133.0,10213.0,9642.0,9552.0,10213.0,817.99796250765
北京科技大学,土木工程,11112.0,11112.0,11112.0,11112.0,11052.0,11060.0,11112.0,0.0
北京科技大学,环境工程,11112.0,11112.0,11112.0,11112.0,11052.0,11060.0,11112.0,0.0
北京科技大学,应用化学,11112.0,10394.0,10744.0,10750.0,10695.0,10697.0,10750.0,293.15297485556357
北京科技大学,安全工程,11112.0,10394.0,9133.0,10213.0,9642.0,9552.0,10213.0,817.99796250765
北京科技大学,建筑环境与能源应用工程,11112.0,11112.0,11112.0,11112.0,11052.0,11060.0,11112.0,0.0
北京科技大学,工科试验班类（卓越计划）,11112.0,10394.0,10753.0,10753.0,10701.0,10704.0,10753.0,293.1222725530537
北京科技大学,管理科学与工程类（一年后可分流至信息管理与信息系统、工程管理）,11112.0,10394.0,10753.0,10753.0,10701.0,10704.0,10753.0,293.1222725530537
北京科技大学,矿业类（一年后可分流至采矿工程、矿物加工工程）,11112.0,11183.0,10426.0,10907.0,10604.0,10581.0,10907.0,341.3512365096495
北京科技大学,机械类（一年后可分流至机械工程、车辆工程、工业设计等专业）,11112.0,11183.0,11147.5,11147.5,11086.0,11095.0,11147.5,28.985628622934275
北京化工大学,工科试验班（化学工程与工艺英才班）,11842.0,11842.0,11842.0,11842.0,11765.0,11784.0,11842.0,0.0
北京化工大学,工科试验班（生物工程高精尖班）,15347.0,15347.0,15347.0,15347.0,15208.0,15269.0,15347.0,0.0
北京化工大学,工科试验班（高分子材料与工程精英班）,15347.0,15347.0,15347.0,15347.0,15208.0,15269.0,15347.0,0.0
北京化工大学,化学工程与工艺,20464.0,20464.0,20464.0,20464.0,20308.0,20402.0,20464.0,0.0
北京化工大学,应用化学,21596.0,21596.0,21596.0,21596.0,21450.0,21513.0,21596.0,0.0
北京化工大学,高分子材料与工程,21596.0,21596.0,21596.0,21596.0,21450.0,21513.0,21596.0,0.0
北京化工大学,计算机科学与技术,21596.0,21596.0,21596.0,21596.0,21450.0,21513.0,21596.0,0.0
北京化工大学,自动化,22781.0,22781.0,22781.0,22781.0,22650.0,22658.0,22781.0,0.0
北京化工大学,电子科学与技术,22781.0,22922.0,21260.0,22321.0,21774.0,21725.0,22321.0,752.4453468525139
北京化工大学,能源化学工程,22781.0,22781.0,22781.0,22781.0,22650.0,22658.0,22781.0,0.0
北京化工大学,理科试验班（化学优培计划）,22781.0,19212.0,20996.5,20996.5,20845.0,20927.0,20996.5,1457.0381486655272
北京化工大学,信息管理与信息系统（大数据管理）,22781.0,22781.0,22781.0,22781.0,22650.0,22658.0,22781.0,0.0
北京化工大学,环境工程,23967.0,22922.0,25355.0,24081.333333333332,24472.0,24567.0,24081.333333333332,996.5528363090216
北京化工大学,制药工程,23967.0,21640.0,25355.0,23654.0,24237.0,24379.0,23654.0,1532.706321076111
北京化工大学,化学,23967.0,23967.0,23967.0,23967.0,23855.0,23789.0,23967.0,0.0
北京化工大学,材料科学与工程,25254.0,25254.0,25254.0,25254.0,25168.0,25010.0,25254.0,0.0
北京化工大学,测控技术与仪器,25254.0,25254.0,25254.0,25254.0,25168.0,25010.0,25254.0,0.0
北京化工大学,功能材料,25254.0,25254.0,25254.0,25254.0,25168.0,25010.0,25254.0,0.0
北京化工大学,生物工程类（含生物工程等3个专业）,25254.0,22922.0,24088.0,24088.0,23978.0,23904.0,24088.0,952.0350133617285
北京化工大学,数学类（含数学与应用数学、信息与计算科学等3个专业）,25254.0,22922.0,24088.0,24088.0,23978.0,23904.0,24088.0,952.0350133617285
北京化工大学,电子信息类（电子信息工程、通信工程）,25254.0,25254.0,25254.0,25254.0,25168.0,25010.0,25254.0,0.0
北京化工大学,机械类（含过程装备与控制工程、机械设计制造及其自动化等3个专业）,25254.0,25254.0,25254.0,25254.0,25168.0,25010.0,25254.0,0.0
北京邮电大学,电子信息类（电子工程）,5409.0,5409.0,5409.0,5409.0,5470.0,5438.0,5409.0,0.0
北京邮电大学,科技与创意设计试验班,5828.0,5365.0,4902.0,5365.0,5243.0,5133.0,5365.0,378.03791696953715
北京邮电大学,管理科学与工程类（工程管理、信息管理与信息系统）,5828.0,4851.0,5339.5,5339.5,5402.0,5370.0,5339.5,398.85857978319416
北京邮电大学,机械工程,6301.0,5601.5,4902.0,5601.5,5382.0,5234.0,5601.5,571.1393583589444
北京邮电大学,自动化,6301.0,6301.0,6301.0,6301.0,6348.0,6304.0,6301.0,0.0
北京邮电大学,邮政工程,6301.0,6301.0,6301.0,6301.0,6348.0,6304.0,6301.0,0.0
北京邮电大学,电磁场与无线技术,6301.0,4851.0,5576.0,5576.0,5635.0,5599.0,5576.0,591.9600211726014
北京邮电大学,计算机类（计算机科学与技术、网络工程、智能科学与技术、数据科学与大数据技术）,6301.0,5336.0,5818.5,5818.5,5874.0,5834.0,5818.5,393.9596002976278
北京邮电大学,电子信息类（信息通信）,6301.0,6301.0,6301.0,6301.0,6348.0,6304.0,6301.0,0.0
北京邮电大学,软件工程（英语授课）,6301.0,5336.0,5818.5,5818.5,5874.0,5834.0,5818.5,393.9596002976278
北京邮电大学,工商管理类（含工商管理、会计学、市场营销等4个专业）,6301.0,6301.0,6301.0,6301.0,6348.0,6304.0,6301.0,0.0
北京林业大学,风景园林,8479.0,11183.0,11550.0,10404.0,10996.0,11011.0,10404.0,1369.4015724639237
北京林业大学,园林,14414.0,13873.0,18740.0,15675.666666666666,17365.0,17196.0,15675.666666666666,2178.038005994284
北京林业大学,城乡规划,14414.0,15901.0,17575.0,15963.333333333334,16716.0,16716.0,15963.333333333334,1291.225343961653
北京林业大学,地理信息科学,15347.0,14860.0,22552.0,17586.333333333332,20499.0,20114.0,17586.333333333332,3516.8808465583375
北京林业大学,商务英语,16274.0,18059.0,17575.0,17302.666666666668,17284.0,17369.0,17302.666666666668,753.7375021996864
北京林业大学,金融学,16274.0,16941.0,13374.0,15529.666666666666,14357.0,14238.0,15529.666666666666,1548.417758731653
北京林业大学,环境工程,17298.0,18059.0,22552.0,19303.0,20904.0,20838.0,19303.0,2318.301245883862
北京林业大学,国际经济与贸易,17298.0,15901.0,18740.0,17313.0,17919.0,17947.0,17313.0,1159.0654281215823
北京林业大学,会计学,18358.0,18358.0,18358.0,18358.0,18197.0,18297.0,18358.0,0.0
北京林业大学,统计学,18358.0,20410.0,18740.0,19169.333333333332,18810.0,18911.0,19169.333333333332,891.0373480138504
北京林业大学,自然地理与资源环境,19380.0,20410.0,23930.0,21240.0,22402.0,22496.0,21240.0,1948.0417517770677
北京林业大学,电子信息科学与技术,19380.0,18059.0,19991.0,19143.333333333332,19398.0,19485.0,19143.333333333332,806.2937154384596
北京林业大学,环境科学,19380.0,18059.0,21260.0,19566.333333333332,20255.0,20312.0,19566.333333333332,1313.4281691647836
北京林业大学,计算机类,19380.0,18477.5,17575.0,18477.5,17896.0,17983.0,18477.5,736.8881642872727
北京林业大学,园艺（观赏园艺）,19380.0,14860.0,17378.0,17206.0,17137.0,17222.0,17206.0,1849.2859883389228
北京林业大学,土木工程,20464.0,20410.0,25355.0,22076.333333333332,23516.0,23660.0,22076.333333333332,2318.4722460179582
北京林业大学,食品科学与工程,20464.0,21640.0,21260.0,21121.333333333332,21031.0,21114.0,21121.333333333332,490.0104307279817
北京林业大学,管理科学与工程类,20464.0,20464.0,20464.0,20464.0,20308.0,20402.0,20464.0,0.0
北京林业大学,应用心理学,20464.0,18059.0,17575.0,18699.333333333332,18024.0,18102.0,18699.333333333332,1263.3554087781033
北京林业大学,自动化,20464.0,19212.0,21260.0,20312.0,20600.0,20695.0,20312.0,842.9725183341783
北京林业大学,林学类,20464.0,20862.0,21260.0,20862.0,20887.0,20980.0,20862.0,324.96563920923495
北京林业大学,信息管理与信息系统,20464.0,19212.0,18574.0,19416.666666666668,18877.0,18967.0,19416.666666666668,785.0440893492685
北京林业大学,野生动物与自然保护区管理,21596.0,21640.0,21047.0,21427.666666666668,21121.0,21173.0,21427.666666666668,269.7706845122765
北京林业大学,生物科学类,21596.0,21640.0,23930.0,22388.666666666668,22925.0,23047.0,22388.666666666668,1090.0352695619024
北京林业大学,工商管理类,21596.0,19585.5,17575.0,19585.5,18571.0,18589.0,19585.5,1641.566375955193
北京林业大学,车辆工程,21596.0,21640.0,22552.0,21929.333333333332,22053.0,22135.0,21929.333333333332,440.65809371388553
北京林业大学,机械设计制造及其自动化,21596.0,20410.0,23930.0,21978.666666666668,22724.0,22851.0,21978.666666666668,1462.2870975138758
北京林业大学,电气工程及其自动化,21596.0,20410.0,21260.0,21088.666666666668,21012.0,21097.0,21088.666666666668,499.10942910570446
北京林业大学,旅游管理,21596.0,20410.0,22552.0,21519.333333333332,21832.0,21932.0,21519.333333333332,876.1466138089498
北京林业大学,水土保持与荒漠化防治,21596.0,21640.0,25355.0,22863.666666666668,23846.0,24023.0,22863.666666666668,1761.7302732131145
北京林业大学,数学与应用数学,22781.0,18059.0,14326.0,18388.666666666668,16552.0,16198.0,18388.666666666668,3459.601743296795
北京林业大学,林业工程类,22781.0,21640.0,23930.0,22783.666666666668,23133.0,23232.0,22783.666666666668,934.890486753514
中国传媒大学,网络与新媒体（新媒体网络经营）,4582.0,4582.0,4582.0,4582.0,4653.0,4639.0,4582.0,0.0
中国传媒大学,广播电视工程,4948.0,4011.0,7767.0,5575.333333333333,6714.0,6970.0,5575.333333333333,1596.254852946595
中国传媒大学,传播学（媒体市场调查与分析）,4948.0,4948.0,4948.0,4948.0,5015.0,4992.0,4948.0,0.0
中国传媒大学,通信工程,5409.0,5825.0,7128.0,6120.666666666667,6643.0,6726.0,6120.666666666667,732.2587581510302
中国传媒大学,数字媒体技术,5828.0,5825.0,5387.0,5680.0,5616.0,5533.0,5680.0,207.18590685661997
中国传媒大学,数字媒体技术（游戏设计技术）,5828.0,5828.0,5828.0,5828.0,5883.0,5844.0,5828.0,0.0
中国传媒大学,电子信息工程,6301.0,6301.0,6301.0,6301.0,6348.0,6304.0,6301.0,0.0
中国传媒大学,网络工程,6301.0,6301.0,6301.0,6301.0,6348.0,6304.0,6301.0,0.0
中国传媒大学,软件工程（移动互联网）,6301.0,6301.0,6301.0,6301.0,6348.0,6304.0,6301.0,0.0
中国传媒大学,工商管理类（工商管理、会计学、市场营销）,6301.0,6301.0,6301.0,6301.0,6348.0,6304.0,6301.0,0.0
北京师范大学,数学与应用数学,2496.0,2155.0,2897.0,2516.0,2709.0,2882.0,2516.0,303.2501717504323
北京师范大学,心理学,2972.0,2410.0,2897.0,2759.6666666666665,2878.0,2959.0,2759.6666666666665,249.14029960825064
北京师范大学,物理学（基地班）,2972.0,2673.0,2822.5,2822.5,2898.0,2933.0,2822.5,122.06623884869504
北京师范大学,理科试验班（数学与应用数学、物理学、化学、生物科学）,2972.0,1905.0,2820.0,2565.6666666666665,2719.0,2845.0,2565.6666666666665,471.2652001674735
