学校,科类,专业,最低分
清华大学,理科,理科试验班类（经济、金融与管理）,418
清华大学,理科,电子信息类,417
清华大学,理科,计算机类,415
清华大学,理科,理科试验班类（新雅书院）,415
清华大学,理科,工科试验班类（机械、航空与动力）,414
清华大学,理科,工科试验班类（能源）,414
清华大学,理科,理科试验班类（化生）,414
清华大学,理科,理科试验班类（数理）,414
清华大学,理科,建筑类,413
清华大学,理科,工科试验班类（环境、化工与新材料）,413
清华大学,理科,工科试验班类（自动化与工业工程）,413
清华大学,理科,法学（含国际班）,413
清华大学,文科,文科试验班类（经济、金融与管理）,414
北京大学,理科,法学,422
北京大学,理科,理科试验班类,421
北京大学,理科,工商管理类,420
北京大学,理科,计算机类,416
北京大学,理科,数学类,413
北京大学,理科,电子信息类,413
北京大学,理科,经济学类,413
北京大学,理科,物理学类,413
北京大学,理科,心理学类,413
北京大学,文科,工商管理类,416
北京大学,文科,文科试验班类,415
北京大学,文科,经济学类,414
北京大学,文科,国际政治,412
北京大学,文科,中国语言文学类,412
北京大学,文科,法学,411
北京大学,文科,新闻传播学类,410
北京大学,文科,历史学类,409
北京大学,文科,考古学,408
北京大学,文科,哲学类,408
北京大学,文科,社会学类,408
中国人民大学,理科,法学,406
中国人民大学,理科,金融学类,406
中国人民大学,理科,政治学、经济学与哲学（PPE实验班）,406
中国人民大学,理科,经济学类,404
中国人民大学,理科,统计学类,401
中国人民大学,理科,人力资源管理,400
中国人民大学,理科,工商管理类,400
中国人民大学,理科,农业经济管理类,399
中国人民大学,理科,理科试验班（信息与数学）,399
中国人民大学,理科,社会学类,398
中国人民大学,理科,理科试验班（物理、化学与心理学）,398
中国人民大学,理科,信息资源管理,397
中国人民大学,文科,信息资源管理,404
中国人民大学,文科,法学,400
中国人民大学,文科,金融学类,399
中国人民大学,文科,社会学类,397
中国人民大学,文科,新闻传播学类,397
中国人民大学,文科,政治学、经济学与哲学（PPE实验班）,397
中国人民大学,文科,人力资源管理,396
中国人民大学,文科,工商管理类,396
中国人民大学,文科,经济学类,395
中国人民大学,文科,人文科学试验班,395
北京交通大学,理科,软件工程,379
北京交通大学,理科,计算机类,379
北京交通大学,理科,经济管理试验班,378
北京交通大学,理科,法学,377
北京交通大学,理科,理科试验班类,377
北京交通大学,理科,交通运输类,377
北京交通大学,理科,外国语言文学类,376
北京交通大学,理科,土木类,376
北京交通大学,理科,电气类,376
北京交通大学,理科,机械类,376
北京交通大学,理科,电子信息类（通信与控制）,376
北京交通大学,文科,新闻传播学类,374
北京交通大学,文科,法学,373
北京交通大学,文科,经济管理试验班,373
北京交通大学,文科,外国语言文学类,372
北京理工大学,理科,理科试验班（徐特立英才班）,386
北京理工大学,理科,经济管理试验班,384
北京理工大学,理科,电子信息工程（实验班）,384
北京理工大学,理科,工科试验班（航空航天与武器类）,383
北京理工大学,理科,工科试验班（信息科学技术）,383
北京理工大学,理科,工科试验班（车辆类）,383
北京理工大学,理科,理科试验班（理学与材料菁英班）,383
北京理工大学,文科,社会科学试验班,378
北京科技大学,理科,理科试验班,375
北京科技大学,理科,计算机类（一年后可分流至计算机科学与技术、信息安全、物联网工,374
北京科技大学,理科,材料科学与工程,373
北京科技大学,理科,通信工程,373
北京科技大学,理科,应用化学,373
北京科技大学,理科,生物技术,373
北京科技大学,理科,安全工程,373
