学校,科类,专业,最低分
清华大学,理科,计算机类,419
清华大学,理科,理科试验班类（新雅书院）,417
清华大学,理科,理科试验班类（经济、金融与管理）,417
清华大学,理科,理科试验班类（化生）,416
清华大学,理科,临床医学（协和）,416
清华大学,理科,建筑类,415
清华大学,理科,工科试验班类（机械、航空与动力）,415
清华大学,理科,工科试验班类（能源）,415
清华大学,理科,电子信息类,414
清华大学,理科,工科试验班类（自动化与工业工程）,414
清华大学,理科,法学（含国际班）,414
清华大学,理科,工科试验班类（环境、化工与新材料）,413
清华大学,理科,理科试验班类（数理）,413
清华大学,文科,文科试验班类（经济、金融与管理）,419
北京大学,理科,工商管理类,423
北京大学,理科,数学类,418
北京大学,理科,经济学类,418
北京大学,理科,物理学类,416
北京大学,理科,电子信息类,415
北京大学,理科,理科试验班类,415
北京大学,文科,工商管理类,421
北京大学,文科,文科试验班类,414
北京大学,文科,法学,412
北京大学,文科,经济学类,411
北京大学,文科,中国语言文学类,409
北京大学,文科,新闻传播学类,409
北京大学,文科,国际政治,408
北京大学,文科,社会学,406
北京大学,文科,考古学,405
北京大学,文科,历史学类,405
北京大学,文科,公共管理类,405
中国人民大学,理科,金融学类,405
中国人民大学,理科,法学,402
中国人民大学,理科,经济学类,401
中国人民大学,理科,农业经济管理类,399
中国人民大学,理科,统计学类,399
中国人民大学,理科,人力资源管理,398
中国人民大学,理科,政治学、经济学与哲学（PPE实验班）,398
中国人民大学,理科,社会学类,396
中国人民大学,理科,工商管理类,396
中国人民大学,理科,理科试验班（信息与数学）,395
中国人民大学,理科,理科试验班（物理、化学与心理学）,394
中国人民大学,文科,金融学类,399
中国人民大学,文科,法学,395
中国人民大学,文科,信息资源管理,392
中国人民大学,文科,人力资源管理,392
中国人民大学,文科,经济学类,392
中国人民大学,文科,社会学类,392
中国人民大学,文科,新闻传播学类,392
中国人民大学,文科,工商管理类,392
中国人民大学,文科,人文科学试验班,392
中国人民大学,文科,政治学、经济学与哲学（PPE实验班）,392
北京交通大学,理科,电子信息类（通信与控制）,372
北京交通大学,理科,经济管理试验班,371
北京交通大学,理科,理科试验班类,371
北京交通大学,理科,机械类,371
北京交通大学,理科,法学,370
北京交通大学,理科,软件工程,370
北京交通大学,理科,计算机类,370
北京交通大学,理科,土木类,370
北京交通大学,理科,电气类,370
北京交通大学,理科,交通运输类,370
北京交通大学,理科,文科试验班类（语言与传播）,370
北京交通大学,文科,经济管理试验班,371
北京交通大学,文科,法学,367
北京交通大学,文科,文科试验班类（语言与传播）,366
北京理工大学,理科,电子信息类（实验班）,381
北京理工大学,理科,理科试验班（徐特立英才班）,380
北京理工大学,理科,理科试验班（数学菁英班）,380
北京理工大学,理科,自动化类,379
北京理工大学,理科,电子信息类,378
北京理工大学,理科,经济管理试验班,378
北京理工大学,理科,机械类,378
北京理工大学,理科,生物医学工程类,378
北京理工大学,理科,理科试验班（物理菁英班）,378
北京理工大学,理科,光电信息科学与工程,377
北京理工大学,理科,航空航天类,377
北京理工大学,理科,材料类,377
北京理工大学,理科,兵器类,377
北京理工大学,理科,理科试验班（化学化工菁英班）,377
北京理工大学,理科,计算机类（计算机科学与技术、物联网工程、软件工程）,377
北京理工大学,文科,社会科学试验班,370
北京理工大学,文科,外国语言文学类（英语、日语、西班牙语、德语）,369
北京科技大学,理科,理科试验班,369
北京科技大学,理科,应用物理学,368
