school,major,2017,2018,2019,2020,rankEstimatedByPoly,rankEstimatedBySVR,avg,cov
南京师范大学,金融学,1941.0,2016.0,2482.0,2146.3333333333335,2287.0,2334.0,2146.3333333333335,239.31894107144038
南京师范大学,财务管理,1941.0,2393.0,2845.0,2393.0,2577.0,2664.0,2393.0,369.0564545793321
南京师范大学,法学,2096.0,1838.0,2006.0,1980.0,1990.0,1987.0,1980.0,106.92053123698928
南京师范大学,应用心理学,2096.0,2016.0,2664.0,2258.6666666666665,2426.0,2494.0,2258.6666666666665,288.46875432570204
南京师范大学,教育学（师范）,2096.0,2176.0,2136.0,2136.0,2133.0,2135.0,2136.0,32.65986323710904
南京师范大学,翻译,2096.0,2096.0,2096.0,2096.0,2093.0,2093.0,2096.0,0.0
南京师范大学,经济学,2264.0,2355.0,2664.0,2427.6666666666665,2522.0,2567.0,2427.6666666666665,171.1925491628911
南京师范大学,人文地理与城乡规划,2264.0,2264.0,2264.0,2264.0,2260.0,2267.0,2264.0,0.0
南京师范大学,国际经济与贸易,2443.0,2768.0,3106.0,2772.3333333333335,2902.0,2981.0,2772.3333333333335,270.68595990351787
南京师范大学,地理科学（师范）,2443.0,2557.0,2500.0,2500.0,2494.0,2510.0,2500.0,46.54030511288038
南京师范大学,历史学（师范）,2443.0,2176.0,2309.5,2309.5,2305.0,2314.0,2309.5,109.00229355385143
南京师范大学,小学教育（师范）,2443.0,2821.5,3200.0,2821.5,2969.0,3059.0,2821.5,309.0439558811443
南京师范大学,外国语言文学类（含英语、俄语、德语、法语、日语、意大利语）,2443.0,2443.0,2443.0,2443.0,2437.0,2451.0,2443.0,0.0
南京师范大学,中国语言文学类（含汉语言文学（基地班）、秘书学、古典文献学）,2443.0,2443.0,2443.0,2443.0,2437.0,2451.0,2443.0,0.0
南京师范大学,旅游管理,2624.0,2768.0,3106.0,2832.6666666666665,2937.0,3007.0,2832.6666666666665,202.0187010045247
南京师范大学,劳动与社会保障,2624.0,2624.0,2624.0,2624.0,2617.0,2637.0,2624.0,0.0
南京师范大学,英语,2624.0,2624.0,2624.0,2624.0,2617.0,2637.0,2624.0,0.0
南京师范大学,汉语言,2624.0,2176.0,2304.0,2368.0,2336.0,2342.0,2368.0,188.41089848166072
南京师范大学,新闻传播学类（含新闻学、广播电视学、广告学、网络与新媒体）,2624.0,2624.0,2624.0,2624.0,2617.0,2637.0,2624.0,0.0
南京师范大学,行政管理,2839.0,2768.0,2803.5,2803.5,2795.0,2821.0,2803.5,28.985628622934275
南京师范大学,历史学,2839.0,2768.0,1693.0,2433.3333333333335,2104.0,2151.0,2433.3333333333335,524.2965657801783
南京师范大学,哲学,2839.0,2557.0,2148.0,2514.6666666666665,2351.0,2354.0,2514.6666666666665,283.68331326008973
南京师范大学,思想政治教育,2839.0,2768.0,3106.0,2904.3333333333335,2978.0,3038.0,2904.3333333333335,145.51594032575568
南京师范大学,汉语国际教育,2839.0,2768.0,3106.0,2904.3333333333335,2978.0,3038.0,2904.3333333333335,145.51594032575568
南京师范大学,文物与博物馆学,2839.0,2768.0,2803.5,2803.5,2795.0,2821.0,2803.5,28.985628622934275
南京师范大学,思想政治教育（师范）,2839.0,2768.0,2803.5,2803.5,2795.0,2821.0,2803.5,28.985628622934275
南京师范大学,学前教育（师范）,2839.0,3019.5,3200.0,3019.5,3084.0,3142.0,3019.5,147.37763285745456
南京师范大学,社会学类（含社会学、社会工作）,2839.0,2839.0,2839.0,2839.0,2830.0,2857.0,2839.0,0.0
南京师范大学,工商管理类（含市场营销、人力资源管理、工商管理）,2839.0,2839.0,2839.0,2839.0,2830.0,2857.0,2839.0,0.0
南京师范大学,英语（单列专业）,6276.0,8215.0,10154.0,8215.0,8936.0,9042.0,8215.0,1583.1868704188607
北京外国语大学,西班牙语,323.0,506.0,510.0,446.3333333333333,486.0,490.0,446.3333333333333,87.2251238017019
北京外国语大学,英语,360.0,639.0,850.0,616.3333333333334,734.0,753.0,616.3333333333334,200.68272361006953
北京外国语大学,法语,488.0,353.0,420.5,420.5,429.0,434.0,420.5,55.113519212621505
北京外国语大学,法语（国际关系）,601.0,506.0,553.5,553.5,562.0,565.0,553.5,38.78358759406699
北京外国语大学,新闻学,740.0,740.0,740.0,740.0,747.0,746.0,740.0,0.0
北京外国语大学,德语,740.0,312.0,850.0,634.0,744.0,759.0,634.0,232.07470061742333
北京外国语大学,法学,813.0,813.0,813.0,813.0,820.0,816.0,813.0,0.0
北京外国语大学,工商管理类,813.0,771.0,956.0,846.6666666666666,904.0,902.0,846.6666666666666,79.18894423395787
北京外国语大学,日语,813.0,831.5,850.0,831.5,847.0,842.0,831.5,15.10518674716293
中国矿业大学（北京）,法学,4279.0,4490.0,4701.0,4490.0,4557.0,4588.0,4490.0,172.2807785757502
中国矿业大学（北京）,英语,5520.0,5258.0,4996.0,5258.0,5147.0,5101.0,5258.0,213.9221042030642
中国矿业大学（北京）,行政管理,5875.0,5435.5,4996.0,5435.5,5256.0,5188.0,5435.5,358.8502473177356
浙江理工大学,经济与贸易类,8340.0,9721.0,11102.0,9721.0,10329.0,10419.0,9721.0,1127.5817782611896
浙江理工大学,工商管理类,9331.0,10465.5,11600.0,10465.5,11012.0,11046.0,10465.5,926.3153710625052
浙江理工大学,公共管理类,9844.0,9844.0,9844.0,9844.0,9908.0,9873.0,9844.0,0.0
浙江理工大学,外国语言文学类,10362.0,10258.0,10154.0,10258.0,10281.0,10248.0,10258.0,84.9156444164835
浙江理工大学,新闻传播学类,10917.0,10759.5,10602.0,10759.5,10761.0,10707.0,10759.5,128.59821149611685
浙江理工大学,法学类,10917.0,10917.0,10917.0,10917.0,10992.0,10933.0,10917.0,0.0
华北电力大学,法学类,4552.0,4435.0,4996.0,4661.0,4775.0,4814.0,4661.0,241.64850506469102
华北电力大学,工商管理类,4552.0,5057.0,4996.0,4868.333333333333,4904.0,4913.0,4868.333333333333,225.06344784428137
华北电力大学,公共管理类,5520.0,5421.0,4996.0,5312.333333333333,5180.0,5128.0,5312.333333333333,227.30351710628875
华北电力大学,外国语言文学类,5875.0,5421.0,5320.0,5538.666666666667,5447.0,5402.0,5538.666666666667,241.3715439363601
华东政法大学,法学类（卓越法律人才实验班）,813.0,808.0,803.0,808.0,813.0,809.0,808.0,4.08248290463863
