学校,科类,专业,最低分
清华大学,理科,计算机类,426
清华大学,理科,建筑类,425
清华大学,理科,电子信息类,425
清华大学,理科,临床医学类,425
清华大学,理科,自动化类,425
清华大学,文科,文科试验班类,429
清华大学,文科,法学,423
北京大学,理科,工商管理类,432
北京大学,理科,经济学类,429
北京大学,理科,理科试验班类,429
北京大学,理科,物理学类,426
北京大学,理科,法学,425
北京大学,理科,数学类,425
北京大学,理科,电子信息类,425
北京大学,理科,计算机类,425
北京大学,文科,文科试验班类,425
北京大学,文科,法学,422
北京大学,文科,工商管理类,422
北京大学,文科,经济学类,421
北京大学,文科,中国语言文学类,420
北京大学,文科,新闻传播学类,419
北京大学,文科,历史学类,418
北京大学,文科,社会学类,418
北京大学,文科,公共管理类,418
北京大学,文科,国际政治,417
北京大学,文科,考古学,417
北京大学,文科,城乡规划,417
北京大学,文科,哲学类,417
中国人民大学,理科,法学,418
中国人民大学,理科,金融学类,418
中国人民大学,理科,社会学类,418
中国人民大学,理科,经济学类,417
中国人民大学,理科,人力资源管理,414
中国人民大学,理科,工商管理类,414
中国人民大学,理科,理科试验班,413
中国人民大学,理科,社会科学试验班,412
中国人民大学,文科,法学,412
中国人民大学,文科,金融学类,411
中国人民大学,文科,经济学类,410
中国人民大学,文科,人力资源管理,409
中国人民大学,文科,工商管理类,409
中国人民大学,文科,社会学类,408
中国人民大学,文科,新闻传播学类,408
中国人民大学,文科,社会科学试验班,408
中国人民大学,文科,人文科学试验班,407
北京交通大学,理科,计算机类,394
北京交通大学,理科,法学,393
北京交通大学,理科,软件工程,393
北京交通大学,理科,经济管理试验班,393
北京交通大学,理科,电子信息类,393
北京交通大学,理科,交通运输类,393
北京交通大学,理科,电气类,392
北京交通大学,理科,理科试验班类,392
北京交通大学,理科,机械类,392
北京交通大学,理科,土木类,391
北京交通大学,理科,建筑类,391
北京交通大学,理科,会计学（威海校区）,376
北京交通大学,理科,通信工程（威海校区）,374
北京交通大学,理科,计算机科学与技术（威海校区）,374
北京交通大学,理科,信息管理与信息系统（威海校区）,371
北京交通大学,理科,工商管理（威海校区）,371
北京交通大学,理科,环境工程（威海校区）,370
北京交通大学,文科,新闻传播学类,392
北京交通大学,文科,经济管理试验班,391
北京交通大学,文科,外国语言文学类,390
北京交通大学,文科,法学,389
石河子大学,理科,临床医学,359
石河子大学,理科,预防医学,358
石河子大学,理科,电子信息工程,354
石河子大学,理科,动物医学,354
石河子大学,理科,计算机类,354
石河子大学,理科,化工与制药类,354
石河子大学,理科,化学,353
石河子大学,理科,园林,353
石河子大学,理科,土木类,353
石河子大学,理科,机械类,353
石河子大学,理科,食品科学与工程类,353
石河子大学,理科,农业资源与环境,350
石河子大学,理科,林学,349
石河子大学,理科,动物科学,349
石河子大学,理科,植物生产类,349
石河子大学,文科,农林经济管理,349
石河子大学,文科,俄语,345
石河子大学,文科,护理学,344
石河子大学,文科,学前教育,343
北京理工大学,理科,经济管理试验班,400
北京理工大学,文科,社会科学试验班,392
北京科技大学,理科,理科试验班,393
北京科技大学,理科,通信工程,391
北京科技大学,理科,安全工程,391
北京科技大学,理科,计算机类,391
北京科技大学,理科,工科试验班类,391
北京科技大学,理科,应用物理学,390
北京科技大学,理科,数学类,390
北京科技大学,理科,自动化类,390
北京科技大学,理科,管理科学与工程类,390
北京科技大学,理科,材料科学与工程,389
北京科技大学,理科,冶金工程,389
北京科技大学,理科,应用化学,389
北京科技大学,理科,生物技术,389
北京科技大学,理科,工商管理类,389
北京科技大学,理科,土木类,389
北京科技大学,理科,机械类,389
北京科技大学,理科,能源动力类,389
北京科技大学,文科,工商管理类,380
北京科技大学,文科,外国语言文学类,378
北京科技大学,文科,社会科学试验班,377
北京化工大学,理科,理科试验班,384
北京化工大学,理科,人工智能,381
北京化工大学,理科,自动化类,380
北京化工大学,理科,数学类,379
北京化工大学,理科,电子科学与技术,379
北京化工大学,理科,材料类,377
北京化工大学,理科,计算机类,377
北京化工大学,理科,管理科学与工程类,377
北京化工大学,理科,化学类,377
北京化工大学,理科,机械类,377
北京化工大学,理科,环境工程,376
北京化工大学,理科,制药工程,376
北京化工大学,理科,生物工程类,376
北京化工大学,文科,国际经济与贸易,372
北京化工大学,文科,法学,372
北京化工大学,文科,英语,372
北京化工大学,文科,工商管理类,372
北京邮电大学,理科,计算机类,399
北京邮电大学,理科,机械工程,398
北京邮电大学,理科,软件工程,398
北京邮电大学,理科,通信工程,398
北京邮电大学,理科,信息管理与信息系统,398
北京邮电大学,理科,自动化类,398
北京邮电大学,理科,科技与创意设计试验班,398
北京邮电大学,理科,工商管理类,398
北京邮电大学,理科,人工智能,398
北京邮电大学,理科,物联网工程（宏福校区）,394
北京邮电大学,理科,电信工程及管理（宏福校区）,391
北京林业大学,理科,风景园林,388
北京林业大学,理科,金融学,386
北京林业大学,理科,数学与应用数学,385
北京林业大学,理科,英语,383
北京林业大学,理科,城乡规划,382
北京林业大学,理科,商务英语,382
北京林业大学,理科,应用心理学,382
北京林业大学,理科,工商管理类,382
北京林业大学,理科,计算机类,382
北京林业大学,理科,园林,381
北京林业大学,理科,统计学,381
